Item,Description,Details,Class Description,Rotating,Status,Location,Vendor,UNITCOST,DUPLICATES,Macro,,Commodity Code,"0 = Good, 1 = Duplicate, 2 = Cost?, 3 = 1&2"
100378,"Wire Hanger, Burndy, WCHP2GS","Wire Hanger, Burndy, WCHP2GS",INVENTORY,N,ACTIVE,d,,,,,,,
100380,"Capacitor, Tmeic, 4FBG4523P022","Capacitor, Tmeic, 4FBG4523P022",INVENTORY,N,ACTIVE,o,,,,,,,
100381,"Capacitor, TMEIC, 4FBG4523P002","Capacitor, TMEIC, 4FBG4523P002",INVENTORY,N,ACTIVE,o,,,,,,,
100391,"Transformer, Hammond, XG3A0030PB","Transformer, Hammond, XG3A0030PB",INVENTORY,N,ACTIVE,o,,,,,,,
100392,"Cooling Unit, Tmeic,","Cooling Unit, Tmeic,",INVENTORY,N,ACTIVE,o,,,,,,,
100393,"Combiner Box, Shoals, LMB.000161.12","Combiner Box, Shoals, LMB.000161.12",INVENTORY,N,ACTIVE,d,,,,,,,
100396,"Breaker, Phoenix Contact (reference picture only), TMC 7K 05A","Breaker, Phoenix Contact (reference picture only), TMC 7K 05A",INVENTORY,N,ACTIVE,d,,,,,,,
100397,"Breaker, Phoenix Contact, UT-6-TMC M 1A","Breaker, Phoenix Contact, UT-6-TMC M 1A",INVENTORY,N,ACTIVE,d,,,,,,,
100398,"Power Supply, Phoenix Contact, UNO-PS/1AC/24DV/90W/C24PS","Power Supply, Phoenix Contact, UNO-PS/1AC/24DV/90W/C24PS",INVENTORY,N,ACTIVE,d,,,,,,,
100399,"Power Supply, Moxa, MDR-60-24","Power Supply, Moxa, MDR-60-24",INVENTORY,N,ACTIVE,o,,,,,,,
100400,"Jumper, WAGO, 2002-477","Jumper, WAGO, 2002-477",INVENTORY,N,ACTIVE,o,,,,,,,
100403,"Disconnect Switch, Inosys LBS, 87P11051","Disconnect Switch, Inosys LBS, 87P11051",INVENTORY,N,ACTIVE,o,,,,,,,
100407,"I/O Device, Moxa, iologik E1242 V1.1.4","I/O Device, Moxa, iologik E1242 V1.1.4",INVENTORY,N,ACTIVE,o,,,,,,,
100408,"Breaker, Siemens, BQD330","Breaker, Siemens, BQD330",INVENTORY,N,ACTIVE,o,,,,,,,
100409,"Fiber Patch Cord, Lynn, D-SU2SU2-SR2-001M","Fiber Patch Cord, Lynn, D-SU2SU2-SR2-001M",INVENTORY,N,ACTIVE,d,,,,,,,
100412,"Surge Protector, Citel, DS50VGPVS-1500G/51","Surge Protector, Citel, DS50VGPVS-1500G/51",INVENTORY,N,ACTIVE,d,,,,,,,
100414,"Damper, Nextracker, Single Tube","Damper, Nextracker, Single Tube",INVENTORY,N,ACTIVE,o,,,,,,,
100415,"SPC-WS, Nextracker, SPC150-A-WS","SPC-WS, Nextracker, SPC150-A-WS",INVENTORY,N,ACTIVE,o,,,,,,,
100417,"Lug, ILSCO, CLND-4/0-12-134","Lug, ILSCO, CLND-4/0-12-134",INVENTORY,N,ACTIVE,d,,,,,,,
100418,"Clamp, Hubbell, #2524","Clamp, Hubbell, #2524",INVENTORY,N,ACTIVE,d,,,,,,,
100419,"Splice, TE Connectivity, TSCL-2-U","Splice, TE Connectivity, TSCL-2-U",INVENTORY,N,ACTIVE,o,,,,,,,
100420,"Splice, TE Connectivity, TCSL-1/0-U","Splice, TE Connectivity, TCSL-1/0-U",INVENTORY,N,ACTIVE,o,,,,,,,
100421,"Cold Shrink, Raychem, CSJ-SR-3515M10","Cold Shrink, Raychem, CSJ-SR-3515M10",INVENTORY,N,ACTIVE,o,,,,,,,
100422,"Cold Shrink, Raychem, CSJ-SR-3514M9","Cold Shrink, Raychem, CSJ-SR-3514M9",INVENTORY,N,ACTIVE,o,,,,,,,
100423,"Wire, 3M, HDCW-80-25-1200","Wire, 3M, HDCW-80-25-1200",INVENTORY,N,ACTIVE,o,,,,,,,
100424,"Cold Shrink, Raychem, CSJ-SR-3514M8","Cold Shrink, Raychem, CSJ-SR-3514M8",INVENTORY,N,ACTIVE,o,,,,,,,
100425,"Plug, TE Connectivity, ELB-35-600-CP-AL-200","Plug, TE Connectivity, ELB-35-600-CP-AL-200",INVENTORY,N,ACTIVE,o,,,,,,,
100426,"Wire Tie, Heyco, S6429","Wire Tie, Heyco, S6429",INVENTORY,N,ACTIVE,o,,,,,,,
100427,"Meter, SEL, SEL-735","Meter, SEL, SEL-735",INVENTORY,N,ACTIVE,d,,,,,,,
100428,"Meter, PowerLogic/ Schneider, S8650C0C0E6E1B0A","Meter, PowerLogic/ Schneider, S8650C0C0E6E1B0A",INVENTORY,N,ACTIVE,d,,,,,,,
100429,"Thermostat, SMA, 65-05150","Thermostat, SMA, 65-05150",INVENTORY,N,ACTIVE,o,,,,,,,
100430,"Hardware, Nextracker, Nextracker","Hardware, Nextracker, Nextracker",INVENTORY,N,ACTIVE,o,,,,,,,
100431,"Wire, 3M, HDCW-110/30-1200","Wire, 3M, HDCW-110/30-1200",INVENTORY,N,ACTIVE,o,,,,,,,
100432,"Wire, Spool, Sun Res/Dir Bur","Wire, Spool, Sun Res/Dir Bur",INVENTORY,N,ACTIVE,o,,,,,,,
100433,"Cap, Nextracker, 41279-C","Cap, Nextracker, 41279-C",INVENTORY,N,ACTIVE,o,,,,,,,
100434,"Damper Mount, Nextracker, Upper","Damper Mount, Nextracker, Upper",INVENTORY,N,ACTIVE,o,,,,,,,
100435,"BHA Bearing, Nextracker, BHA","BHA Bearing, Nextracker, BHA",INVENTORY,N,ACTIVE,o,,,,,,,
100436,"Module Mount, Nextracker, Nextracker","Module Mount, Nextracker, Nextracker",INVENTORY,N,ACTIVE,o,,,,,,,
100437,"WS Mount, Nextracker,","WS Mount, Nextracker,",INVENTORY,N,ACTIVE,o,,,,,,,
100438,"BHA Mount, Nextracker,","BHA Mount, Nextracker,",INVENTORY,N,ACTIVE,o,,,,,,,
100441,"Pile, Nextracker, Nextracker","Pile, Nextracker, Nextracker",INVENTORY,N,ACTIVE,o,,,,,,,
100442,"Torque Tube, Nextracker,","Torque Tube, Nextracker,",INVENTORY,N,ACTIVE,o,,,,,,,
100443,"Torque Tube, Nextracker, ?","Torque Tube, Nextracker, ?",INVENTORY,N,ACTIVE,o,,,,,,,
100444,"Elbow Arrestor, Eaton,  DCEA635M27","Elbow Arrestor, Eaton,  DCEA635M27",INVENTORY,N,ACTIVE,o,,,,,,,
100445,"Surge Arrestor, Nexans, 800SA-58-10-22N","Surge Arrestor, Nexans, 800SA-58-10-22N",INVENTORY,N,ACTIVE,o,,,,,,,
100446,"Surge Arrestor, Strikesorb, 35-G","Surge Arrestor, Strikesorb, 35-G",INVENTORY,N,ACTIVE,o,,,,,,,
100447,"Antenna, Nextracker, 3m","Antenna, Nextracker, 3m",INVENTORY,N,ACTIVE,o,,,,,,,
100448,"Wire, SMA, 117306-00.01","Wire, SMA, 117306-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100449,"Wire, SMA, 117300-00.01","Wire, SMA, 117300-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100450,"Wire, SMA, 117302-00.01","Wire, SMA, 117302-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100451,"Wire, SMA, 117303-00.01","Wire, SMA, 117303-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100452,"Pressure Relief Valve, SMA, 117605-00.01","Pressure Relief Valve, SMA, 117605-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100453,"Temperature Gauge, JUMO, 902020/10","Temperature Gauge, JUMO, 902020/10",INVENTORY,N,ACTIVE,o,,,,,,,
100454,"CT, SMA, 111859-00.02","CT, SMA, 111859-00.02",INVENTORY,N,ACTIVE,o,,,,,,,
100455,"CT, SMA, 109064-00.02","CT, SMA, 109064-00.02",INVENTORY,N,ACTIVE,o,,,,,,,
100456,"Thermostat, SMA, 116864-00.01","Thermostat, SMA, 116864-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100457,"Thermostat, SMA, 724085-00.01","Thermostat, SMA, 724085-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100458,"Disconnect Switch, , OTDC400UFV11-SH","Disconnect Switch, , OTDC400UFV11-SH",INVENTORY,N,ACTIVE,o,,,,,,,
100460,"Pressure Switch, , 894B44802","Pressure Switch, , 894B44802",INVENTORY,N,ACTIVE,o,,,,,,,
100461,"On/Off Switch, SMA, OT25FT3","On/Off Switch, SMA, OT25FT3",INVENTORY,N,ACTIVE,o,,,,,,,
100465,"Stud, Hubbell, 635SA","Stud, Hubbell, 635SA",INVENTORY,N,ACTIVE,d,,,,,,,
100468,"Relay, SMA, 113930-00.01","Relay, SMA, 113930-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100469,"Relay, IDEF Systems,","Relay, IDEF Systems,",INVENTORY,N,ACTIVE,d,,,,,,,
100472,"Relay, SMA, 113642-00.01","Relay, SMA, 113642-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100473,"Relay, finder, 113928-00.01","Relay, finder, 113928-00.01",INVENTORY,N,ACTIVE,d,,,,,,,
100474,"Surge Protector, ABB, 2CTB802340R4200","Surge Protector, ABB, 2CTB802340R4200",INVENTORY,N,ACTIVE,o,,,,,,,
100475,"Plug, SMA, 43-700300.01","Plug, SMA, 43-700300.01",INVENTORY,N,ACTIVE,o,,,,,,,
100476,"Plug, SMA, 43-107200.01","Plug, SMA, 43-107200.01",INVENTORY,N,ACTIVE,o,,,,,,,
100477,"Module Mount, Nextracker, PV Module","Module Mount, Nextracker, PV Module",INVENTORY,N,ACTIVE,o,,,,,,,
100478,"Transformer Monitor, SMA, 112200-00.02","Transformer Monitor, SMA, 112200-00.02",INVENTORY,N,ACTIVE,o,,,,,,,
100481,"Insulator, , PRY1 Sub","Insulator, , PRY1 Sub",INVENTORY,N,ACTIVE,d,,,,,,,
100482,"Housing, SMA, 43-107000.01","Housing, SMA, 43-107000.01",INVENTORY,N,ACTIVE,o,,,,,,,
100483,"Hardware, SMA, 43-107100.01","Hardware, SMA, 43-107100.01",INVENTORY,N,ACTIVE,o,,,,,,,
100501,"Filter, SMA, 116391-00.01","Filter, SMA, 116391-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100503,"Fan, SMA, 6UP-720-002-002","Fan, SMA, 6UP-720-002-002",INVENTORY,N,ACTIVE,o,,,,,,,
100504,"Fan, STEGO, 03209.9-00","Fan, STEGO, 03209.9-00",INVENTORY,N,ACTIVE,o,,,,,,,
100505,"Voltage Detector, SMA, 109073-00.01","Voltage Detector, SMA, 109073-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100509,"Contactor, SCHALTBAU, C294A/24EV-U1","Contactor, SCHALTBAU, C294A/24EV-U1",INVENTORY,N,ACTIVE,o,,,,,,,
100510,"Contactor, Eaton, DIL M500","Contactor, Eaton, DIL M500",INVENTORY,N,ACTIVE,o,,,,,,,
100515,"Capacitor, SMA, 123129-00.01","Capacitor, SMA, 123129-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100516,"Wire, SMA, 118955-00.01","Wire, SMA, 118955-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100517,"Wire, Spool, POS and NEG pair","Wire, Spool, POS and NEG pair",INVENTORY,N,ACTIVE,o,,,,,,,
100523,"Breaker, ABB, 2CSF202001R1250","Breaker, ABB, 2CSF202001R1250",INVENTORY,N,ACTIVE,o,,,,,,,
100524,"Breaker, ABB, 2CDS271337R0164","Breaker, ABB, 2CDS271337R0164",INVENTORY,N,ACTIVE,o,,,,,,,
100525,"Breaker, , LR43556","Breaker, , LR43556",INVENTORY,N,ACTIVE,o,,,,,,,
100527,"Surge Arrestor, Stikesorb, 35-G-HV-M","Surge Arrestor, Stikesorb, 35-G-HV-M",INVENTORY,N,ACTIVE,o,,,,,,,
100529,"Wire Tie, Sunbundler, S6408","Wire Tie, Sunbundler, S6408",INVENTORY,N,ACTIVE,o,,,,,,,
100530,"Wire Tie, Sunbundler, S6412","Wire Tie, Sunbundler, S6412",INVENTORY,N,ACTIVE,o,,,,,,,
100531,"Stack, SMA, 6UP-778-002-002","Stack, SMA, 6UP-778-002-002",INVENTORY,N,ACTIVE,o,,,,,,,
100532,"SPC, Nextracker, SPC150A-WS","SPC, Nextracker, SPC150A-WS",INVENTORY,N,ACTIVE,o,,,,,,,
100533,"SPC, Nextracker, NX Horizon","SPC, Nextracker, NX Horizon",INVENTORY,N,ACTIVE,o,,,,,,,
100534,"Wind Sensor, Nextracker, Gill","Wind Sensor, Nextracker, Gill",INVENTORY,N,ACTIVE,o,,,,,,,
100535,"Resistor, Vishay, GWK300i1500KLX000","Resistor, Vishay, GWK300i1500KLX000",INVENTORY,N,ACTIVE,o,,,,,,,
100536,"Surge Protector, SMA, 117156-00.01","Surge Protector, SMA, 117156-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100537,"NCU, Nextracker, 100-240Vac","NCU, Nextracker, 100-240Vac",INVENTORY,N,ACTIVE,o,,,,,,,
100539,"GPS Antenna, Infinex, XNTK-PB0-MB3C3-7514-1J3-G-001","GPS Antenna, Infinex, XNTK-PB0-MB3C3-7514-1J3-G-001",INVENTORY,N,ACTIVE,o,,,,,,,
100541,"Sectionalizer Cabinet, Nordic Fiberglass, ND-683054-MG-PA71-X-B3B","Sectionalizer Cabinet, Nordic Fiberglass, ND-683054-MG-PA71-X-B3B",INVENTORY,N,ACTIVE,d,,,,,,,
100542,"Communication Wire, SMA, 104821-00.02","Communication Wire, SMA, 104821-00.02",INVENTORY,N,ACTIVE,o,,,,,,,
100543,"Wire Tie, , MLTC6H-LP316","Wire Tie, , MLTC6H-LP316",INVENTORY,N,ACTIVE,o,,,,,,,
100544,"Wire Tie, Heyco, S6409","Wire Tie, Heyco, S6409",INVENTORY,N,ACTIVE,o,,,,,,,
100546,"Rivet, Huck, BOM-R16-6BLPB","Rivet, Huck, BOM-R16-6BLPB",INVENTORY,N,ACTIVE,o,,,,,,,
100547,"Rivet, Huck, BOM-R16-4PB","Rivet, Huck, BOM-R16-4PB",INVENTORY,N,ACTIVE,o,,,,,,,
100549,"Ground Kit, nVent, T416C","Ground Kit, nVent, T416C",INVENTORY,N,ACTIVE,o,,,,,,,
100550,"Hardware, , 43124-A","Hardware, , 43124-A",INVENTORY,N,ACTIVE,d,,,,,,,
100551,"Hardware, HDG, 5066","Hardware, HDG, 5066",INVENTORY,N,ACTIVE,d,,,,,,,
100552,"SPC-WS, Nextracker, Horizon","SPC-WS, Nextracker, Horizon",INVENTORY,N,ACTIVE,o,,,,,,,
100553,"Antenna, Nextracker, 1m","Antenna, Nextracker, 1m",INVENTORY,N,ACTIVE,o,,,,,,,
100554,"Combiner Box, Shoals, STG.DCB.10.C400BAC.BSCN","Combiner Box, Shoals, STG.DCB.10.C400BAC.BSCN",INVENTORY,N,ACTIVE,d,,,,,,,
100555,"Jumper, , MC4-16""","Jumper, , MC4-16""",INVENTORY,N,ACTIVE,d,,,,,,,
100556,"CT, Sungrow, TH000853","CT, Sungrow, TH000853",INVENTORY,N,ACTIVE,o,,,,,,,
100558,"Breaker, Sungrow, KM000756","Breaker, Sungrow, KM000756",INVENTORY,N,ACTIVE,o,,,,,,,
100560,"Wire, Sungrow, DN000005","Wire, Sungrow, DN000005",INVENTORY,N,ACTIVE,o,,,,,,,
100575,"Surge Arrestor, Raychem, ELB-35-600-ARSTR30-W","Surge Arrestor, Raychem, ELB-35-600-ARSTR30-W",INVENTORY,N,ACTIVE,o,,,,,,,
100576,"Wire, , FS125M-LCU-CP-1M-PVC","Wire, , FS125M-LCU-CP-1M-PVC",INVENTORY,N,ACTIVE,o,,,,,,,
100577,"Wire, , SMLCSCDX","Wire, , SMLCSCDX",INVENTORY,N,ACTIVE,o,,,,,,,
100578,"Breaker, Phoenix Contact, 1019976","Breaker, Phoenix Contact, 1019976",INVENTORY,N,ACTIVE,o,,,,,,,
100580,"Wire Tie, HellermanTyton, 151-01653","Wire Tie, HellermanTyton, 151-01653",INVENTORY,N,ACTIVE,o,,,,,,,
100581,"Breaker, Sungrow, KN000862","Breaker, Sungrow, KN000862",INVENTORY,N,ACTIVE,o,,,,,,,
100596,"Bobtail Instalation Tool, HUCK, SF20","Bobtail Instalation Tool, HUCK, SF20",INVENTORY,N,ACTIVE,d,,,,,,,
100597,"Nose Assembly Tool, HUCK, 99-7880X-3","Nose Assembly Tool, HUCK, 99-7880X-3",INVENTORY,N,ACTIVE,d,,,,,,,
100598,"Hose Kit, HUCK, 5284","Hose Kit, HUCK, 5284",INVENTORY,N,ACTIVE,d,,,,,,,
100599,"Door, Sungrow, SH250-HX","Door, Sungrow, SH250-HX",INVENTORY,N,ACTIVE,o,,,,,,,
100600,"Transformer, ABB, FN1X2996VC","Transformer, ABB, FN1X2996VC",INVENTORY,N,ACTIVE,d,,,,,,,
100602,"SPC Antenna, Nextracker, Infineon","SPC Antenna, Nextracker, Infineon",INVENTORY,N,ACTIVE,o,,,,,,,
100603,"Combiner Box, Connect PV, AC-CBX8G-500F-02240-N3","Combiner Box, Connect PV, AC-CBX8G-500F-02240-N3",INVENTORY,N,ACTIVE,o,,,,,,,
100604,"Breaker, ABB, SACE T5V-HA 400","Breaker, ABB, SACE T5V-HA 400",INVENTORY,N,ACTIVE,o,,,,,,,
100605,"Panelboard, Square D, MH38WP","Panelboard, Square D, MH38WP",INVENTORY,N,ACTIVE,o,,,,,,,
100606,"Hardware, Huck, 5275","Hardware, Huck, 5275",INVENTORY,N,ACTIVE,d,,,,,,,
100607,"Hardware, Huck, 5069","Hardware, Huck, 5069",INVENTORY,N,ACTIVE,d,,,,,,,
100608,"Heat Shrink, NSI, 250-1000MCM","Heat Shrink, NSI, 250-1000MCM",INVENTORY,N,ACTIVE,d,,,,,,,
100609,"Heat Shrink, NSI, 500-1500MCM","Heat Shrink, NSI, 500-1500MCM",INVENTORY,N,ACTIVE,d,,,,,,,
100610,"Cold Shrink, NSI, 1/C 1250-2000KCMIL","Cold Shrink, NSI, 1/C 1250-2000KCMIL",INVENTORY,N,ACTIVE,d,,,,,,,
100611,"PT, Ritz, 123031010.60372","PT, Ritz, 123031010.6",INVENTORY,N,ACTIVE,o,,,,,,,
100612,"Switchgear, Sunny Central 4000, MVSG 203380-00.01","Switchgear, Sunny Central 4000, MVSG 203380-00.01",INVENTORY,N,ACTIVE,d,,,,,,,
100613,"Meter, PowerLogic ION8650, SD8650","Meter, PowerLogic ION8650, SD8650",INVENTORY,N,ACTIVE,d,,,,,,,
100614,"Coupling, NSI, 1000 MCM","Coupling, NSI, 1000 MCM",INVENTORY,N,ACTIVE,o,,,,,,,
100615,"Insulator, NEWELL-PSN, ST-231004-7001","Insulator, NEWELL-PSN, ST-231004-7001",INVENTORY,N,ACTIVE,d,,,,,,,
100616,"Insulator, NEWELL-PSN, 47805-7001","Insulator, NEWELL-PSN, 47805-7001",INVENTORY,N,ACTIVE,d,,,,,,,
100631,"Wire, Shoals, 0224048-0001","Wire, Shoals, 0224048-0001",INVENTORY,N,ACTIVE,d,,,,,,,
100632,"Wire, Shoals, 0224049-0002","Wire, Shoals, 0224049-0002",INVENTORY,N,ACTIVE,d,,,,,,,
100633,"Wire, Shoals, BLA.MOSV. 85D-1 NEG","Wire, Shoals, BLA.MOSV. 85D-1 NEG",INVENTORY,N,ACTIVE,d,,,,,,,
100635,"Hardware, Huck, 5169","Hardware, Huck, 5169",INVENTORY,N,ACTIVE,d,,,,,,,
100640,"Transformer, Hammond Power Solutions, 236000","Transformer, Hammond Power Solutions, 236000",INVENTORY,N,ACTIVE,o,,,,,,,
100641,"Board, Sungrow, BP004701","Board, Sungrow, BP004701",INVENTORY,N,ACTIVE,o,,,,,,,
100642,"Door, Sungrow, B-J-009360B","Door, Sungrow, B-J-009360B",INVENTORY,N,ACTIVE,o,,,,,,,
100643,"Panelboard, Square D, 2943659840020001","Panelboard, Square D, 2943659840020001",INVENTORY,N,ACTIVE,o,,,,,,,
100644,"Sectionalizer Cabinet, Hoffman, CSD36308","Sectionalizer Cabinet, Hoffman, CSD36308",INVENTORY,N,ACTIVE,d,,,,,,,
100646,"Inverter, Sungrow, SG250HX-US","Inverter, Sungrow, SG250HX-US",INVENTORY,N,ACTIVE,o,,,,,,,
100647,"Wind Sensor, GILL INSTRUMENTS, 21020022","Wind Sensor, GILL INSTRUMENTS, 21020022",INVENTORY,N,ACTIVE,o,,,,,,,
100649,"NCU Antenna, Nextracker, Infineon","NCU Antenna, Nextracker, Infineon",INVENTORY,N,ACTIVE,o,,,,,,,
100654,"Tubular Mount, NRG, 15686","Tubular Mount, NRG, 15686",INVENTORY,N,ACTIVE,o,,,,,,,
100657,"CT, Sungrow, TAR5896-F14","CT, Sungrow, TAR5896-F14",INVENTORY,N,ACTIVE,o,,,,,,,
100660,"Hardware, Hellerman Tyton, 42966-B","Hardware, Hellerman Tyton, 42966-B",INVENTORY,N,ACTIVE,d,,,,,,,
100661,"Rivet, Huck, Nextracker","Rivet, Huck, Nextracker",INVENTORY,N,ACTIVE,o,,,,,,,
100662,"Collar, Huck, NMBTC-R12BLXPB","Collar, Huck, NMBTC-R12BLXPB",INVENTORY,N,ACTIVE,d,,,,,,,
100663,"Pin, Huck, MBT-DT12-20D1PB","Pin, Huck, MBT-DT12-20D1PB",INVENTORY,N,ACTIVE,o,,,,,,,
100664,"Wire Hanger, Burndy, WCH2H1090","Wire Hanger, Burndy, WCH2H1090",INVENTORY,N,ACTIVE,o,,,,,,,
100665,"Stack, , ASTO2090","Stack, , ASTO2090",INVENTORY,N,ACTIVE,o,,,,,,,
100669,"Surge Protector, Mersen, SP2-40k1500V-PV","Surge Protector, Mersen, SP2-40k1500V-PV",INVENTORY,N,ACTIVE,o,,,,,,,
100670,"Relay, Siemens, P3R47730","Relay, Siemens, P3R47730",INVENTORY,N,ACTIVE,d,,,,,,,
100671,"Insulator, Eriflex, S-335","Insulator, Eriflex, S-335",INVENTORY,N,ACTIVE,o,,,,,,,
100672,"Insulator, , Combiner Box Standoff","Insulator, , Combiner Box Standoff",INVENTORY,N,ACTIVE,o,,,,,,,
100673,"Motor, Substation, Siemens","Motor, Substation, Siemens",INVENTORY,N,ACTIVE,o,,,,,,,
100674,"Relay, Substation, Siemens","Relay, Substation, Siemens",INVENTORY,N,ACTIVE,d,,,,,,,
100675,"GSU LV Bushing Siemens, P3R91500023467","GSU LV Bushing Siemens, P3R91500023467",INVENTORY,N,ACTIVE,o,,,,,,,
100677,"Heater, SMA, 124086-00.01","Heater, SMA, 124086-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100679,"Surge Arrestor, Strikesorb, 35-D","Surge Arrestor, Strikesorb, 35-D",INVENTORY,N,ACTIVE,d,,,,,,,
100680,"Hardware, Burndy, 50091781","Hardware, Burndy, 50091781",INVENTORY,N,ACTIVE,o,,,,,,,
100684,"Fan, SMA, 116872-00.01","Fan, SMA, 116872-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100686,"Racking, Nextracker, Module Mount","Racking, Nextracker, Module Mount",INVENTORY,N,ACTIVE,o,,,,,,,
100688,"GFDI Board, ABB, YVD.P0057.1","GFDI Board, ABB, YVD.P0057.1",INVENTORY,N,ACTIVE,o,,,,,,,
100691,"Coupling, NSI, ASC500T","Coupling, NSI, ASC500T",INVENTORY,N,ACTIVE,o,,,,,,,
100692,"TCB Antenna, First Solar, Tracker","TCB Antenna, First Solar, Tracker",INVENTORY,N,ACTIVE,d,,,,,,,
100693,"Gauge, Reservoir, Well","Gauge, Reservoir, Well",INVENTORY,N,ACTIVE,o,,,,,,,
100694,"Power Supply, Meanwell, Gateway","Power Supply, Meanwell, Gateway",INVENTORY,N,ACTIVE,o,,,,,,,
100695,"Gearbox, , M-1C211-AS-28P5FS REV XA","Gearbox, , M-1C211-AS-28P5FS REV XA",INVENTORY,N,ACTIVE,o,,,,,,,
100696,"Gearbox, , MA-1E2111313-28P7FS REV XB2","Gearbox, , MA-1E2111313-28P7FS REV XB2",INVENTORY,N,ACTIVE,o,,,,,,,
100697,"Motor, , 8532-50AFS REV XB2","Motor, , 8532-50AFS REV XB2",INVENTORY,N,ACTIVE,o,,,,,,,
100699,"Motor, , 8532-51AFS REV XA","Motor, , 8532-51AFS REV XA",INVENTORY,N,ACTIVE,o,,,,,,,
100700,"Capacitor, ABB, 2GUA199444C170","Capacitor, ABB, 2GUA199444C170",INVENTORY,N,ACTIVE,o,,,,,,,
100701,"Splice Kit, Souriau, Male","Splice Kit, Souriau, Male",INVENTORY,N,ACTIVE,o,,,,,,,
100702,"Lug, , CF16SC18RF","Lug, , CF16SC18RF",INVENTORY,N,ACTIVE,o,,,,,,,
100703,"Lug, , CL101021","Lug, , CL101021",INVENTORY,N,ACTIVE,o,,,,,,,
100704,"Lug, , CL1C1101","Lug, , CL1C1101",INVENTORY,N,ACTIVE,o,,,,,,,
100707,"Hardware, , 841-02FS REV A","Hardware, , 841-02FS REV A",INVENTORY,N,ACTIVE,o,,,,,,,
100708,"Hardware, First Solar, 80004602","Hardware, First Solar, 80004602",INVENTORY,N,ACTIVE,d,,,,,,,
100709,"Hardware, Aztech Locknut, 25CRF0FZ/15AT","Hardware, Aztech Locknut, 25CRF0FZ/15AT",INVENTORY,N,ACTIVE,o,,,,,,,
100710,"Clamp, Caparo, 80007528","Clamp, Caparo, 80007528",INVENTORY,N,ACTIVE,o,,,,,,,
100711,"Jumper, , 674-02","Jumper, , 674-02",INVENTORY,N,ACTIVE,d,,,,,,,
100712,"Jumper, CTAC, 328'","Jumper, CTAC, 328'",INVENTORY,N,ACTIVE,d,,,,,,,
100713,"Hardware, , 0646564A","Hardware, , 0646564A",INVENTORY,N,ACTIVE,o,,,,,,,
100714,"BHA Bearing, Nextracker,","BHA Bearing, Nextracker,",INVENTORY,N,ACTIVE,o,,,,,,,
100715,"Hardware, , Q624703A","Hardware, , Q624703A",INVENTORY,N,ACTIVE,o,,,,,,,
100716,"Actuator Mount, Nextracker,","Actuator Mount, Nextracker,",INVENTORY,N,ACTIVE,o,,,,,,,
100717,"Pile, , Table","Pile, , Table",INVENTORY,N,ACTIVE,d,,,,,,,
100718,"Pile, , Combiner Box","Pile, , Combiner Box",INVENTORY,N,ACTIVE,d,,,,,,,
100719,"GOAB, S&C, 137194R1-Z5","GOAB, S&C, 137194R1-Z5",INVENTORY,N,ACTIVE,d,,,,,,,
100720,"Module Mount, , HZL2, Double","Module Mount, , HZL2, Double",INVENTORY,N,ACTIVE,d,,,,,,,
100721,"Module Mount, , HZL2, Single","Module Mount, , HZL2, Single",INVENTORY,N,ACTIVE,d,,,,,,,
100722,"Torque Tube, , Square","Torque Tube, , Square",INVENTORY,N,ACTIVE,o,,,,,,,
100723,"Racking, First Solar,","Racking, First Solar,",INVENTORY,N,ACTIVE,d,,,,,,,
100724,"Hardware, , 42170 05 BCIJL","Hardware, , 42170 05 BCIJL",INVENTORY,N,ACTIVE,d,,,,,,,
100725,"Hardware, , Module Clip","Hardware, , Module Clip",INVENTORY,N,ACTIVE,d,,,,,,,
100726,"Hardware, , 42615A","Hardware, , 42615A",INVENTORY,N,ACTIVE,d,,,,,,,
100727,"Skid Equiment, , 18283A","Skid Equiment, , 18283A",INVENTORY,N,ACTIVE,d,,,,,,,
100728,"Hardware, , Combiner Box Mount","Hardware, , Combiner Box Mount",INVENTORY,N,ACTIVE,d,,,,,,,
100729,"Skid Equiment, , 19002A","Skid Equiment, , 19002A",INVENTORY,N,ACTIVE,d,,,,,,,
100730,"Conduit, Sealtight, 2""","Conduit, Sealtight, 2""",INVENTORY,N,ACTIVE,o,,,,,,,
100731,"Conduit, Sealtight, 1 1/2""","Conduit, Sealtight, 1 1/2""",INVENTORY,N,ACTIVE,o,,,,,,,
